variable,label
q4bb_2,4-2_2.因應措施為何?(2)運用派遣人力
q4bb_3,4-2_2.因應措施為何?(3)增加加班時數
q4bb_4,4-2_2.因應措施為何?(4)提高工資或加班費等
q4bb_5,4-2_2.因應措施為何?(5)加強職訓提高生產力
q4bb_6,4-2_2.因應措施為何?(6)採委外方式
q4bb_7,4-2_2.因應措施為何?(7)採自動化生產
q4bb_8,4-2_2.因應措施為何?(8)生產線外移
q4bb_9,4-2_2.因應措施為何?(9)縮減業務
q4bb_10,4-2_2.因應措施為何?(10)其他
q5,5.貴單位運用移工時有遭遇困擾嗎?
q5b_1,5_2.貴單位運用移工時遭遇困擾為何?(1)語言不通
q5b_2,5_2.貴單位運用移工時遭遇困擾為何?(2)溝通困難(如配合度不高等)
q5b_3,5_2.貴單位運用移工時遭遇困擾為何?(3)工作態度或紀律不佳
q5b_4,5_2.貴單位運用移工時遭遇困擾為何?(4)喜歡喝酒、打架鬧事
q5b_5,5_2.貴單位運用移工時遭遇困擾為何?(5)有偷竊行為
q5b_6,5_2.貴單位運用移工時遭遇困擾為何?(6)衛生習慣不佳
q5b_7,5_2.貴單位運用移工時遭遇困擾為何?(7)工作、生活環境無法適應
q5b_8,5_2.貴單位運用移工時遭遇困擾為何?(8)與同事相處不融洽
q5b_9,5_2.貴單位運用移工時遭遇困擾為何?(9)發生行蹤不明失聯情形
q5b_10,5_2.貴單位運用移工時遭遇困擾為何?(10)要求調整薪資或轉換雇主
q5b_11,5_2.貴單位運用移工時遭遇困擾為何?(11)其他
nq6b,6-2.貴單位113年6月底移工人數為幾人?
nq6c_1,6_1.貴單位113年6月底外籍基層技術工及勞力工人數
nq6c_2,6_2.貴單位113年6月底外籍機械設備操作及組裝人員人數
nq6c_3,6_3.貴單位113年6月底外籍技藝有關工作人員人數
nq6c_4,6_4.貴單位113年6月底外籍其他工作人員人數
q7a,7-1.貴單位規定移工113年6月放假天數幾天?  註：貴單位當月規定移工的週休、國定假日，即使移工有於假日加班，仍應計入。(113年6月星期六、日及端午節皆放假則共計11天)
q7b,7-2_1.貴單位113年6月平均每名移工的正常工時。(請以全月均有工作之移工平均值計算)
q7bb,7-2_2.貴單位113年6月平均每名移工的加班工時。(請以全月均有工作之移工平均值計算)
q7ca,7-3_1.貴單位113年6月平均每名移工的經常性薪資。
q7cb,7-3_2.貴單位113年6月平均每名移工的加班費。
nq7d,7-4_1.貴單位過去一整年(112年7月至113年6月)平均每名移工除加班費以外之非經常性薪資全年總金額:(1)非按月給付之生產、績效、業績等工作獎金
nq7db,7-4_2.貴單位過去一整年(112年7月至113年6月)平均每名移工除加班費以外之非經常性薪資全年總金額:(2)年終(中)、三節等節慶獎金
nq7dc,7-4_3.貴單位過去一整年(112年7月至113年6月)平均每名移工除加班費以外之非經常性薪資全年總金額:(3)其他
q8,8.貴單位給付移工薪資主要方式為何?(單選)
q8a2,8-1.請問存款簿或提款卡有交由移工本人收存嗎?
q8a3,8-2.請問存款簿或提款卡有交由移工本人收存嗎?
q9,9.貴單位給付薪資時，有檢附印有中文及其母國文字之薪資明細表，交予移工收存嗎?(單選)
q10_1,10.貴單位提供移工餐食之方式?(1)公司有專人烹煮
q10_2,10.貴單位提供移工餐食之方式?(2)外包供餐
q10_3,10.貴單位提供移工餐食之方式?(3)專人協助訂餐
q10_4,10.貴單位提供移工餐食之方式?(4)委由仲介公司提供
q10_5,10.貴單位提供移工餐食之方式?(5)補貼餐費由移工自行處理
q10_6,10.貴單位提供移工餐食之方式?(6)其他
q11_1,11.貴單位提供移工住宿之方式?(1)自有員工宿舍
q11_2,11.貴單位提供移工住宿之方式?(2)租賃員工宿舍
q11_3,11.貴單位提供移工住宿之方式?(3)住宿組合房屋(工地工寮)
q11_4,11.貴單位提供移工住宿之方式?(4)委由仲介公司提供住宿
q11_5,11.貴單位提供移工住宿之方式?(5)補貼移工自行在外居住(如住親友家、自行租屋)
q11_6,11.貴單位提供移工住宿之方式?(6)其他
q12,12.貴單位目前提供移工之住宿地點，消防及建築安全檢查情形?
q13_1,13.移工與貴單位之間溝通管道為何?(1)透過仲介公司
q13_2,13.移工與貴單位之間溝通管道為何?(2)向雇主或移工管理人員反映
q13_3,13.移工與貴單位之間溝通管道為何?(3)設立意見箱
q13_4,13.移工與貴單位之間溝通管道為何?(4)事業單位內部設立專線
q13_5,13.移工與貴單位之間溝通管道為何?(5)透過移工諮詢服務中心
q13_6,13.移工與貴單位之間溝通管道為何?(6)其他
q14,14.貴單位有對移工提供職前講習嗎?
q14a,14-1.講習方式為何?
q14b_1,14-2.講習內容為何?(1)工作規範及注意事項
q14b_2,14-2.講習內容為何?(2)勞工安全衛生教育訓練
q14b_3,14-2.講習內容為何?(3)工作技能訓練
q14b_4,14-2.講習內容為何?(4)勞動合約說明
q14b_5,14-2.講習內容為何?(5)其他
q15a_1,15.貴單位對於移工的表現滿意情形?(1)勞資關係
q15a_2,15.貴單位對於移工的表現滿意情形?(2)勤勞程度
q15a_3,15.貴單位對於移工的表現滿意情形?(3)工作效率
q15a_4,15.貴單位對於移工的表現滿意情形?(4)衛生習慣
q15a_5,15.貴單位對於移工的表現滿意情形?(5)與同事合作情形
q15a_6,15.貴單位對於移工的表現滿意情形?(6)整體表現
q16,16.貴單位知道勞動部每年皆辦理人力仲介公司評鑑並將評鑑結果公布於勞動部網站嗎?
q16a,16_1.貴單位知道有人力仲介評鑑，有曾參考勞動部評鑑結果選擇人力仲介公司嗎?
q17,17.貴單位知道勞動部目前有提供協助雇主不須透過人力仲介公司聘僱移工之措施嗎?
q17a_1,17_1.請問貴單位知道勞動部目前有提供的措施為何?(1)「直接聘僱聯合服務中心」
q17a_2,17_1.請問貴單位知道勞動部目前有提供的措施為何?(2)「聘僱移工小幫手」APP 
q18,18.貴單位有沒有曾經透過勞動部「直接聘僱聯合服務中心」直接聘僱移工(不透過人力仲介公司)?
q18a_1,18_2.貴單位未曾透過「直接聘僱聯合服務中心」直接聘僱移工原因為何?(1)無後續代辦及管理服務(如接機、健檢、辦理居留證等)
q18a_2,18_2.貴單位未曾透過「直接聘僱聯合服務中心」直接聘僱移工原因為何?(2)沒時間了解申辦程序及進行申辦
q18a_3,18_2.貴單位未曾透過「直接聘僱聯合服務中心」直接聘僱移工原因為何?(3)覺得申辦文件複雜不想申辦
q18a_4,18_2.貴單位未曾透過「直接聘僱聯合服務中心」直接聘僱移工原因為何?(4)可節省的仲介費用(登記費、介紹費、服務費)太少
q18a_5,18_2.貴單位未曾透過「直接聘僱聯合服務中心」直接聘僱移工原因為何?(5)其他
q19_1,19.勞動部設有「直接聘僱聯合服務中心」，哪些因素會讓貴單位想透過該中心辦理直接聘僱移工?(1)雇主與移工不必支付國內、外仲介費用
q19_2,19.勞動部設有「直接聘僱聯合服務中心」，哪些因素會讓貴單位想透過該中心辦理直接聘僱移工?(2)移工期滿免出境後，續聘程序簡化，直接聘僱更容易
q19_3,19.勞動部設有「直接聘僱聯合服務中心」，哪些因素會讓貴單位想透過該中心辦理直接聘僱移工?(3)協助雇主代寄辦理勞動部聘僱移工申請案件
q19_4,19.勞動部設有「直接聘僱聯合服務中心」，哪些因素會讓貴單位想透過該中心辦理直接聘僱移工?(4)協助雇主代寄辦理各國驗證案件
q19_5,19.勞動部設有「直接聘僱聯合服務中心」，哪些因素會讓貴單位想透過該中心辦理直接聘僱移工?(5)協助雇主於移工期滿前，代寄移工入境簽證文件至我各駐外辦事處
q19_6,19.勞動部設有「直接聘僱聯合服務中心」，哪些因素會讓貴單位想透過該中心辦理直接聘僱移工?(6)可透過客製化「專案選工」引進移工
q19_7,19.勞動部設有「直接聘僱聯合服務中心」，哪些因素會讓貴單位想透過該中心辦理直接聘僱移工?(7)以簡訊或email提醒通知雇主應辦事項
q19_8,19.勞動部設有「直接聘僱聯合服務中心」，哪些因素會讓貴單位想透過該中心辦理直接聘僱移工?(8)其他
q19_9,19.勞動部設有「直接聘僱聯合服務中心」，哪些因素會讓貴單位想透過該中心辦理直接聘僱移工?(9)都沒有
